,0
285,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=141319
286,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=139284
287,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=141362
288,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=141325
289,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=143244
290,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=143556
291,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=143800
292,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=143976
293,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=143824
294,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=144016
295,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=143973
296,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=144002
297,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=143772
298,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=143798
299,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=144024
300,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=143744
301,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=143486
302,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=143869
303,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=143797
304,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=143703
305,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=143689
306,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=143974
307,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=143477
308,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=144025
309,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=143479
310,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=143685
311,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=144022
312,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=143551
313,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=143985
314,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=143960
315,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=143930
316,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=132336
317,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=132236
318,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=132292
319,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=131164
320,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=132318
321,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=132327
322,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=132313
323,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=132291
324,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=131200
325,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=132480
326,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=131127
327,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=131198
328,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=131199
329,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=132320
330,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=132326
331,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=132413
332,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=131128
333,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=130978
334,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=132235
335,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=130980
336,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=132339
